DEER,Description,2018-12-03
DEER,Scheduled,1672
DEER,Recordings,1216
DEER,RecordingFailure,2
DEER,AccountWithRecording,285
DUKE,Description,2018-12-03
DUKE,Scheduled,58
DUKE,Recordings,51
DUKE,RecordingFailure,0
DUKE,AccountWithRecording,18
MID,Description,2018-12-03
MID,Scheduled,1
MID,Recordings,1
MID,RecordingFailure,0
MID,AccountWithRecording,1
OKC,Description,2018-12-03
OKC,Scheduled,84
OKC,Recordings,47
OKC,RecordingFailure,1
OKC,AccountWithRecording,16
RI,Description,2018-12-03
RI,Scheduled,2
RI,Recordings,1
RI,RecordingFailure,0
RI,AccountWithRecording,1
SD,Description,2018-12-03
SD,Scheduled,705
SD,Recordings,485
SD,RecordingFailure,2
SD,AccountWithRecording,119
