DEER,Description,2018-12-01
DEER,Scheduled,1450
DEER,Recordings,1333
DEER,RecordingFailure,2
DEER,AccountWithRecording,242
DUKE,Description,2018-12-01
DUKE,Scheduled,62
DUKE,Recordings,63
DUKE,RecordingFailure,0
DUKE,AccountWithRecording,15
MID,Description,2018-12-01
MID,Scheduled,4
MID,Recordings,0
MID,RecordingFailure,0
MID,AccountWithRecording,0
OKC,Description,2018-12-01
OKC,Scheduled,70
OKC,Recordings,62
OKC,RecordingFailure,1
OKC,AccountWithRecording,19
RI,Description,2018-12-01
RI,Scheduled,2
RI,Recordings,2
RI,RecordingFailure,0
RI,AccountWithRecording,1
SD,Description,2018-12-01
SD,Scheduled,628
SD,Recordings,487
SD,RecordingFailure,4
SD,AccountWithRecording,106
