DEER,Description,2018-12-02
DEER,Scheduled,1569
DEER,Recordings,1153
DEER,RecordingFailure,2
DEER,AccountWithRecording,251
DUKE,Description,2018-12-02
DUKE,Scheduled,64
DUKE,Recordings,26
DUKE,RecordingFailure,0
DUKE,AccountWithRecording,13
MID,Description,2018-12-02
MID,Scheduled,1
MID,Recordings,7
MID,RecordingFailure,0
MID,AccountWithRecording,1
OKC,Description,2018-12-02
OKC,Scheduled,60
OKC,Recordings,71
OKC,RecordingFailure,1
OKC,AccountWithRecording,18
RI,Description,2018-12-02
RI,Scheduled,2
RI,Recordings,2
RI,RecordingFailure,0
RI,AccountWithRecording,2
SD,Description,2018-12-02
SD,Scheduled,600
SD,Recordings,450
SD,RecordingFailure,3
SD,AccountWithRecording,99
